generator_type,rho,alpha,delta,K,T,seed,method,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,worst_window_dip,worst_window_recovery,budget_normalized_score,final_accuracy,accuracy_auc
sine,10.0,0.0,0.5,10,20,49,FedProTrack,0.92,1.16113,0.08,0.322,6,0.001108,0.3432,8.8636
sine,10.0,0.0,0.5,10,20,49,IFCA,0.89,0.0,0.11,0.295,6,0.001203,0.401,10.9717
sine,10.0,0.0,0.5,10,20,49,FedProto,,,,0.3566,6,0.001581,0.6668,9.6127
sine,10.0,0.0,0.5,10,20,49,FedAvg,,,,0.3,3,,0.6424,9.93
sine,10.0,0.0,0.5,10,20,50,FedProTrack,0.9,1.075285,0.1,0.2724,6,0.001221,0.3816,9.7696
sine,10.0,0.0,0.5,10,20,50,IFCA,0.955,0.0,0.045,0.2648,6,0.001297,0.5298,11.8289
sine,10.0,0.0,0.5,10,20,50,FedProto,,,,0.3414,6,0.002007,0.3318,12.2035
sine,10.0,0.0,0.5,10,20,50,FedAvg,,,,0.3444,6,,0.3332,11.787
sine,10.0,0.0,0.5,10,20,51,FedProTrack,0.905,0.583392,0.095,0.0,0,0.001421,0.616,11.3692
sine,10.0,0.0,0.5,10,20,51,IFCA,0.82,0.0,0.18,0.0,0,0.001241,0.6134,11.3147
sine,10.0,0.0,0.5,10,20,51,FedProto,,,,0.0,0,0.002096,0.6814,12.745
sine,10.0,0.0,0.5,10,20,51,FedAvg,,,,0.0,0,,0.5528,9.5564
sine,10.0,0.0,0.5,10,20,52,FedProTrack,0.905,0.858536,0.095,0.2548,6,0.001045,0.43,8.3594
sine,10.0,0.0,0.5,10,20,52,IFCA,0.975,0.016254,0.025,0.2874,5,0.001253,0.628,11.4308
sine,10.0,0.0,0.5,10,20,52,FedProto,,,,0.3562,5,0.001808,0.6684,10.9927
sine,10.0,0.0,0.5,10,20,52,FedAvg,,,,0.24,4,,0.6852,11.0238
sine,10.0,0.0,0.5,10,20,53,FedProTrack,0.9,0.552284,0.1,0.0,0,0.000865,0.4092,6.918
sine,10.0,0.0,0.5,10,20,53,IFCA,1.0,0.0,0.0,0.0,0,0.001329,0.6372,12.1187
sine,10.0,0.0,0.5,10,20,53,FedProto,,,,0.0,0,0.002091,0.6764,12.713
